forecast_id,location_id,city_name,latitude,longitude,timezone,forecast_time,forecast_date,forecast_hour,day_name,temperature,cloud_cover,wind_speed,wind_direction,solar_score,wind_score,recommendation
1,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 00:00:00,2026-06-08,0,Monday,25.0,17,4.7,171,83,11.75,Strong Solar Potential
2,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 01:00:00,2026-06-08,1,Monday,24.7,90,5.9,166,10,14.75,Low Renewable Potential
3,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 02:00:00,2026-06-08,2,Monday,24.5,62,6.5,161,38,16.25,Low Renewable Potential
4,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 03:00:00,2026-06-08,3,Monday,23.4,25,6.0,163,75,15.0,Strong Solar Potential
5,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 04:00:00,2026-06-08,4,Monday,23.4,3,1.0,135,97,2.5,Strong Solar Potential
6,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 05:00:00,2026-06-08,5,Monday,23.3,16,3.4,148,84,8.5,Strong Solar Potential
7,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 06:00:00,2026-06-08,6,Monday,22.9,87,5.0,150,13,12.5,Low Renewable Potential
8,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 07:00:00,2026-06-08,7,Monday,22.9,100,4.5,151,0,11.25,Low Renewable Potential
9,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 08:00:00,2026-06-08,8,Monday,23.2,100,8.4,149,0,21.0,Low Renewable Potential
10,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 09:00:00,2026-06-08,9,Monday,23.6,100,9.7,149,0,24.25,Low Renewable Potential
11,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 10:00:00,2026-06-08,10,Monday,23.4,100,8.2,157,0,20.5,Low Renewable Potential
12,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 11:00:00,2026-06-08,11,Monday,24.1,100,6.7,164,0,16.75,Low Renewable Potential
13,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 12:00:00,2026-06-08,12,Monday,24.5,100,8.7,175,0,21.75,Low Renewable Potential
14,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 13:00:00,2026-06-08,13,Monday,24.9,100,13.0,174,0,32.5,Low Renewable Potential
15,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 14:00:00,2026-06-08,14,Monday,25.6,100,10.9,188,0,27.25,Low Renewable Potential
16,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 15:00:00,2026-06-08,15,Monday,25.1,100,11.3,153,0,28.25,Low Renewable Potential
17,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 16:00:00,2026-06-08,16,Monday,24.9,100,9.3,164,0,23.25,Low Renewable Potential
18,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 17:00:00,2026-06-08,17,Monday,26.2,100,14.7,126,0,36.75,Low Renewable Potential
19,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 18:00:00,2026-06-08,18,Monday,26.6,12,12.9,144,88,32.25,Strong Solar Potential
20,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 19:00:00,2026-06-08,19,Monday,27.1,3,12.0,147,97,30.0,Strong Solar Potential
21,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 20:00:00,2026-06-08,20,Monday,26.2,5,10.4,146,95,26.0,Strong Solar Potential
22,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 21:00:00,2026-06-08,21,Monday,24.7,100,11.8,142,0,29.5,Low Renewable Potential
23,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 22:00:00,2026-06-08,22,Monday,24.0,100,11.5,160,0,28.75,Low Renewable Potential
24,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-08 23:00:00,2026-06-08,23,Monday,23.4,97,8.9,148,3,22.25,Low Renewable Potential
25,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 00:00:00,2026-06-09,0,Tuesday,23.0,38,8.2,157,62,20.5,Moderate Renewable Potential
26,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 01:00:00,2026-06-09,1,Tuesday,22.8,84,9.4,162,16,23.5,Low Renewable Potential
27,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 02:00:00,2026-06-09,2,Tuesday,23.0,100,11.4,167,0,28.5,Low Renewable Potential
28,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 03:00:00,2026-06-09,3,Tuesday,23.3,100,10.4,200,0,26.0,Low Renewable Potential
29,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 04:00:00,2026-06-09,4,Tuesday,22.8,100,10.9,186,0,27.25,Low Renewable Potential
30,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 05:00:00,2026-06-09,5,Tuesday,22.3,100,11.5,194,0,28.75,Low Renewable Potential
31,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 06:00:00,2026-06-09,6,Tuesday,22.3,100,11.0,199,0,27.5,Low Renewable Potential
32,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 07:00:00,2026-06-09,7,Tuesday,22.2,100,16.3,202,0,40.75,Low Renewable Potential
33,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 08:00:00,2026-06-09,8,Tuesday,22.8,100,15.7,217,0,39.25,Low Renewable Potential
34,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 09:00:00,2026-06-09,9,Tuesday,22.6,100,8.9,220,0,22.25,Low Renewable Potential
35,1,Louisville,38.2527,-85.7585,America/New_York,2026-06-09 10:00:00,2026-06-09,10,Tuesday,23.7,100,14.6,196,0,36.5,Low Renewable Potential
